en_wiki,requests,occupation,logvar
Lemmy,73020,"singer-songwriter,musician,bassist",0.18879626647632203
Jim_Morrison,72959,"singer,singer-songwriter,composer,musician",0.11868670958892262
Joe_Walsh,72640,"guitarist,oboist,bajista,singer,musician,singer-songwriter,mandolinist,composer,record producer",0.33329763278844327
Sally_Field,72451,singer,0.2760222197964041
Sarah_Silverman,72448,singer,0.210222189201641
Lucy_Liu,71991,singer,0.10840256441401788
Milla_Jovovich,71807,singer,0.0943199891401192
Liam_Payne,71704,"singer,songwriter",0.14137159284805292
Diana_Ross,71640,"singer,musician",0.1715602547994992
Hulk_Hogan,71363,"singer-songwriter,composer,record producer",0.07099624630397977
Blake_Shelton,71277,"musician,singer,songwriter",0.23948825304659146
J_Dilla,71267,"musician,disc jockey,rapper",0.3494615666775895
Pharrell_Williams,71252,"singer,singer-songwriter,composer,rapper",0.11895933177574043
Olivia_Newton-John,71203,"singer-songwriter,singer",0.31605616534832587
Seal_(musician),70963,"singer,singer-songwriter",0.22695083052271303
Chris_Stapleton,70841,singer-songwriter,0.6406761746332381
Jian_Ghomeshi,70703,musician,0.956502859180479
Niall_Horan,70595,singer,0.07382207723071753
Alia_Bhatt,70372,singer,0.1655852079248668
Neil_Young,69884,"singer,singer-songwriter,musician,guitarist",0.11889809963564757
Hayden_Panettiere,69711,"singer,musician",0.11077380333282917
Goldie_Hawn,69625,"singer,musician",0.2150887495450704
Bobby_Shmurda,69397,rapper,0.27551517971043643
Lindsay_Lohan,69109,singer,0.06298260302826145
Christopher_Lee,68979,"singer,opera singer",0.18219767602129858
Jada_Pinkett_Smith,68413,"singer-songwriter,singer,composer,songwriter,musician",0.18565901701548068
Barbra_Streisand,68331,"singer,singer-songwriter,composer,songwriter,jazz musician",0.11554577956954756
Chris_Jericho,68302,singer,0.15113359959047168
Pope_Benedict_XVI,67990,pianist,0.18934721345575342
Leonard_Nimoy,67917,musician,0.31079422415275576
Layne_Staley,67827,"singer,singer-songwriter,musician,composer",0.5167387125320161
Lisa_Marie_Presley,67600,"singer,singer-songwriter,composer,songwriter,musician",0.12157118791853569
Boy_George,67585,"singer-songwriter,disc jockey,musician,singer,composer",0.23504279851372248
Paul_Kantner,67580,musician,1.0367071015651697
Michelle_Pfeiffer,67235,singer,0.16788220678706797
Metro_Boomin,67021,record producer,0.3617751650836276
Rabindranath_Tagore,66918,composer,0.2810005233148978
Malin_%C3%85kerman,66882,"singer,musician",0.16535425849341293
Russell_Crowe,66873,"singer,musician",0.1499048981025762
Rod_Stewart,66734,"musician,singer-songwriter",0.1282362088499301
Axl_Rose,66640,"singer,musician,singer-songwriter",0.17951851049031806
Ren%C3%A9_Ang%C3%A9lil,66629,"singer,composer,musician",0.36240709486538425
Frank_Zappa,66527,"guitarist,singer,composer,jazz musician,record producer,songwriter",0.10503705779962662
Tina_Turner,66276,"singer,musician",0.11967618892308741
William_Shatner,66257,"singer,musician",0.20945104764967876
Enrique_Iglesias,66211,"singer,musician,composer",0.058479784706694876
Natalie_Cole,66170,"singer,singer-songwriter,composer,songwriter,jazz musician",0.4623887021250401
Tila_Tequila,65958,"singer,singer-songwriter,composer,musician",0.21028966340202224
Ezra_Miller,65953,"singer,opera singer",0.09201136508560953
Jimmy_Savile,65867,disc jockey,0.7150881407787038
Robert_Plant,65852,"singer,composer,musician",0.1292966516583356
Paul_Simon,65818,"singer,songwriter,record producer,singer-songwriter,composer,musician,guitarist",0.1292863489272021
John_Mayer,65735,"guitarist,singer-songwriter,singer,musician,composer,record producer,music artist",0.10446186034345888
Mos_Def,65243,"singer,songwriter,singer-songwriter,composer,rapper",0.291446574496525
Beck,65223,"singer,singer-songwriter,composer,songwriter,guitarist",0.19076156417778073
